date,t_max,t_min,precip,source
2025-10-07 00:00:00,27.2,13.4,5.1,eccc
2025-10-07 04:00:00,16.731998443603516,7.392499923706055,5.200000286102295,openmeteo
2025-10-08 00:00:00,33.0,16.1,0.0,eccc
2025-10-08 04:00:00,10.242500305175781,0.8925000429153442,0.0,openmeteo
2025-10-09 00:00:00,22.8,1.7,0.0,eccc
2025-10-09 04:00:00,12.042499542236328,-1.3574999570846558,0.0,openmeteo
2025-10-10 00:00:00,,,,eccc
2025-10-10 04:00:00,16.4424991607666,1.5425000190734863,0.0,openmeteo
2025-10-11 00:00:00,,,,eccc
2025-10-11 04:00:00,19.49250030517578,5.442500114440918,0.0,openmeteo
2025-10-12 00:00:00,,,,eccc
2025-10-12 04:00:00,20.042499542236328,7.442500114440918,0.0,openmeteo
2025-10-13 04:00:00,19.642499923706055,6.392499923706055,0.0,openmeteo
2025-10-14 04:00:00,19.542499542236328,6.942500114440918,0.0,openmeteo
2025-10-15 04:00:00,15.942499160766602,11.042499542236328,0.6000000238418579,openmeteo
2025-10-16 04:00:00,13.592500686645508,10.242500305175781,5.700000286102295,openmeteo
2025-10-17 04:00:00,12.542499542236328,5.142499923706055,0.9000000953674316,openmeteo
2025-10-18 04:00:00,7.792500019073486,2.8924999237060547,0.0,openmeteo
2025-10-19 04:00:00,3.742500066757202,2.6424999237060547,0.30000001192092896,openmeteo
2025-10-20 04:00:00,5.642499923706055,-0.35749995708465576,0.0,openmeteo
2025-11-01 00:00:00,-3.2,-10.6,1.7,eccc
2025-11-02 00:00:00,-7.9,-27.8,2.1,eccc
2025-11-03 00:00:00,9.1,-9.3,0.0,eccc
2025-11-04 00:00:00,4.4,-1.0,0.4,eccc
2025-11-05 00:00:00,18.1,-3.7,0.1,eccc
2025-11-06 00:00:00,22.1,8.2,0.4,eccc
2025-11-07 00:00:00,28.3,12.3,0.0,eccc
2025-11-08 00:00:00,33.1,15.4,0.0,eccc
2025-11-09 00:00:00,20.1,3.4,0.0,eccc
2025-11-10 00:00:00,,,,eccc
2025-11-11 00:00:00,,,,eccc
2025-11-12 00:00:00,,,,eccc
2025-12-01 00:00:00,-2.5,-5.4,2.4,eccc
2025-12-02 00:00:00,-9.8,-31.5,11.0,eccc
2025-12-03 00:00:00,0.4,-14.9,0.0,eccc
2025-12-04 00:00:00,9.6,-3.9,0.0,eccc
2025-12-05 00:00:00,27.6,1.8,0.0,eccc
2025-12-06 00:00:00,18.1,4.3,0.0,eccc
2025-12-07 00:00:00,31.1,12.3,0.0,eccc
2025-12-08 00:00:00,32.5,17.9,0.0,eccc
2025-12-09 00:00:00,20.6,-0.5,0.0,eccc
2025-12-10 00:00:00,,,,eccc
2025-12-11 00:00:00,,,,eccc
2025-12-12 00:00:00,,,,eccc
,-1.1,-8.1,2.5,eccc
